V,graph_type,k,theta,push_mean,pop_mean,skip_mean,blocked_mean,skip_ratio,push_reduction,wrong_ratio_mean,wrong_ratio_max,max_abs_err_mean,max_abs_err_max,time_mean,time_std
1000,sparse,10,inf,2119.2,2119.2,1119.2,0.0,0.5281,0.0,0.0,0.0,0.0,0.0,0.003687,8e-05
1000,sparse,10,1,999.0,999.0,506.6,657.0,0.5071,0.5286,0.5328,0.642,inf,inf,0.001814,0.000264
1000,sparse,10,2,1643.4,1643.4,895.2,324.8,0.5447,0.2245,0.1992,0.221,6.2936,6.9197,0.003376,0.000142
1000,sparse,10,3,1976.6,1976.6,1061.8,108.2,0.5372,0.0673,0.0532,0.074,3.3314,5.7754,0.004144,0.0002
1000,dense-mid,32,inf,3007.6,3007.6,2007.6,0.0,0.6675,0.0,0.0,0.0,0.0,0.0,0.011065,4.7e-05
1000,dense-mid,32,1,1000.0,1000.0,722.2,1173.2,0.7222,0.6675,0.6902,0.72,7.6285,9.1225,0.003136,0.000101
1000,dense-mid,32,2,1806.6,1806.6,1314.0,838.2,0.7273,0.3993,0.3808,0.468,4.423,6.1219,0.006537,0.000448
1000,dense-mid,32,3,2398.4,2398.4,1693.4,457.6,0.7061,0.2026,0.1788,0.242,2.1183,2.6401,0.008715,0.000221
1000,dense-high,64,inf,3522.6,3522.6,2522.6,0.0,0.7161,0.0,0.0,0.0,0.0,0.0,0.022577,0.000345
1000,dense-high,64,1,1000.0,1000.0,802.4,1518.6,0.8024,0.7161,0.7426,0.783,6.8604,8.0093,0.004667,0.0001
1000,dense-high,64,2,1869.4,1869.4,1482.4,1141.2,0.793,0.4693,0.4994,0.623,2.6722,3.3494,0.009322,0.00025
1000,dense-high,64,3,2566.4,2566.4,1982.4,736.0,0.7724,0.2714,0.2518,0.291,1.6926,1.9097,0.014168,0.000326
10000,sparse,10,inf,21076.4,21076.4,11076.4,0.0,0.5255,0.0,0.0,0.0,0.0,0.0,0.088527,0.00237
10000,sparse,10,1,9983.6,9983.6,5087.8,6624.2,0.5096,0.5263,0.53094,0.5504,inf,inf,0.043885,0.001431
10000,sparse,10,2,16384.8,16384.8,8914.6,3247.0,0.5441,0.2226,0.19578,0.2073,inf,inf,0.070766,0.001081
10000,sparse,10,3,19663.6,19663.6,10527.0,1064.6,0.5354,0.067,0.04958,0.0583,5.5118,7.2679,0.08489,0.001367
10000,dense-mid,32,inf,29913.6,29913.6,19913.6,0.0,0.6657,0.0,0.0,0.0,0.0,0.0,0.224767,0.009506
10000,dense-mid,32,1,9998.6,9998.6,7236.2,11724.8,0.7237,0.6658,0.68576,0.7054,inf,inf,0.064108,0.00442
10000,dense-mid,32,2,18129.0,18129.0,13127.6,8220.0,0.7241,0.394,0.37768,0.3868,6.0106,6.8188,0.11746,0.001407
10000,dense-mid,32,3,23950.6,23950.6,16842.6,4542.6,0.7032,0.1993,0.175,0.1804,3.2117,4.1588,0.173178,0.005254
10000,dense-high,64,inf,35315.6,35315.6,25315.6,0.0,0.7168,0.0,0.0,0.0,0.0,0.0,0.409445,0.014112
10000,dense-high,64,1,10000.0,10000.0,8033.0,15124.0,0.8033,0.7168,0.73424,0.7555,7.9095,9.8998,0.084293,0.005006
10000,dense-high,64,2,18716.2,18716.2,14880.4,11723.6,0.7951,0.47,0.4647,0.4774,3.5191,3.8438,0.14942,0.004573
10000,dense-high,64,3,25628.2,25628.2,19789.6,7494.2,0.7722,0.2743,0.25008,0.2626,2.0629,2.2052,0.208373,0.006313
