V,k,label,algo,E,time_mean_ms,time_std_ms,max_err,correct,push_count,pop_count,skip_count,skip_ratio,insert_count,extract_min_count,decrease_key_count
1000,8,sparse,heapq,4994,0.347683,0.0148904,0,true,2026,2026,1026,0.506417,,,
1000,8,sparse,fibonacci,4994,0.938063,0.0565886,0,true,,,,,1000,1000,1026
10000,8,sparse,heapq,49995,5.27492,0.0952198,0,true,19821,19821,9821,0.495485,,,
10000,8,sparse,fibonacci,49995,12.7438,0.190347,0,true,,,,,10000,10000,9821
100000,8,sparse,heapq,499997,77.5161,1.1848,0,true,199343,199343,99343,0.498352,,,
1000,32,dense-mid,heapq,16979,0.598476,0.0120671,0,true,3161,3161,2161,0.683644,,,
1000,32,dense-mid,fibonacci,16979,1.15562,0.0316474,0,true,,,,,1000,1000,2161
10000,32,dense-mid,heapq,169980,9.18096,0.122641,0,true,31123,31123,21123,0.678694,,,
10000,32,dense-mid,fibonacci,169980,16.4627,0.132671,0,true,,,,,10000,10000,21123
100000,32,dense-mid,heapq,1699988,131.956,1.45253,0,true,312999,312999,212999,0.68051,,,
1000,64,dense-high,heapq,32958,0.785833,0.021442,0,true,3812,3812,2812,0.737671,,,
1000,64,dense-high,fibonacci,32958,1.46145,0.0292592,0,true,,,,,1000,1000,2812
10000,64,dense-high,heapq,329967,12.4743,0.0822386,0,true,37788,37788,27788,0.735366,,,
10000,64,dense-high,fibonacci,329967,20.4293,0.0775609,0,true,,,,,10000,10000,27788
100000,64,dense-high,heapq,3299974,170.273,1.63234,0,true,377989,377989,277989,0.735442,,,
