graph_type,V,param,k_avg,skip_ratio_mean,skip_ratio_std,predicted,rel_err
BA,1000,4,7.968,0.447318,0.007641,0.486786,0.081079
BA,1000,8,15.872,0.578875,0.00777,0.571563,0.012792
BA,1000,16,31.488,0.662463,0.004646,0.641954,0.031947
BA,1000,32,61.952,0.714207,0.002452,0.700129,0.020107
ER,1000,8,9.9918,0.486824,0.005837,0.516334,0.057152
ER,1000,16,17.9826,0.593438,0.004117,0.585351,0.013816
ER,1000,32,33.9672,0.664636,0.00418,0.648994,0.024102
ER,1000,64,65.9354,0.715784,0.003226,0.704986,0.015317
BA,10000,4,7.9968,0.452283,0.002172,0.487271,0.071803
BA,10000,8,15.9872,0.585963,0.002224,0.572374,0.02374
BA,10000,16,31.9488,0.667907,0.002094,0.643315,0.038227
BA,10000,32,63.7952,0.718254,0.000795,0.702424,0.022537
ER,10000,8,9.9991,0.487453,0.001034,0.516426,0.056103
ER,10000,16,17.9983,0.591274,0.001539,0.585446,0.009955
ER,10000,32,33.9967,0.664605,0.00055,0.649074,0.023929
ER,10000,64,65.9937,0.715066,0.001104,0.705054,0.014201
