V,k,variant,push_per_V,skip_ratio,time_mean_s,speedup_vs_indexed,reps
500,4,lazy_binary,1.4448,0.3077,0.000046,0.8054,5
500,4,indexed_binary,1.4432,0.0000,0.000037,1.0000,5
500,4,lazy_4ary,1.4480,0.3092,0.000031,1.1943,5
500,4,lazy_8ary,1.4456,0.3081,0.000034,1.0653,5
500,8,lazy_binary,1.8424,0.4568,0.000053,0.6696,5
500,8,indexed_binary,1.8420,0.0000,0.000036,1.0000,5
500,8,lazy_4ary,1.8452,0.4576,0.000039,0.9094,5
500,8,lazy_8ary,1.8444,0.4573,0.000041,0.8701,5
500,16,lazy_binary,2.3732,0.5784,0.000077,0.5560,5
500,16,indexed_binary,2.3768,0.0000,0.000043,1.0000,5
500,16,lazy_4ary,2.3716,0.5781,0.000057,0.7536,5
500,16,lazy_8ary,2.3836,0.5802,0.000069,0.6142,5
500,32,lazy_binary,2.9812,0.6644,0.000100,0.4634,5
500,32,indexed_binary,2.9840,0.0000,0.000047,1.0000,5
500,32,lazy_4ary,2.9812,0.6644,0.000071,0.6547,5
500,32,lazy_8ary,2.9708,0.6632,0.000101,0.4631,5
500,64,lazy_binary,3.4908,0.7135,0.000118,0.4544,5
500,64,indexed_binary,3.4716,0.0000,0.000054,1.0000,5
500,64,lazy_4ary,3.4976,0.7140,0.000080,0.6707,5
500,64,lazy_8ary,3.5172,0.7156,0.000102,0.5250,5
500,128,lazy_binary,3.9788,0.7486,0.000144,0.5235,5
500,128,indexed_binary,3.9804,0.0000,0.000076,1.0000,5
500,128,lazy_4ary,3.9668,0.7479,0.000117,0.6480,5
500,128,lazy_8ary,3.9488,0.7467,0.000539,0.1401,5
1000,4,lazy_binary,1.4560,0.3131,0.000099,0.8521,5
1000,4,indexed_binary,1.4572,0.0000,0.000084,1.0000,5
1000,4,lazy_4ary,1.4572,0.3137,0.000069,1.2162,5
1000,4,lazy_8ary,1.4558,0.3130,0.000066,1.2698,5
1000,8,lazy_binary,1.8706,0.4653,0.000118,0.6721,5
1000,8,indexed_binary,1.8662,0.0000,0.000079,1.0000,5
1000,8,lazy_4ary,1.8706,0.4653,0.000081,0.9752,5
1000,8,lazy_8ary,1.8672,0.4644,0.000101,0.7842,5
1000,16,lazy_binary,2.3722,0.5783,0.000159,0.5456,5
1000,16,indexed_binary,2.3684,0.0000,0.000087,1.0000,5
1000,16,lazy_4ary,2.3680,0.5776,0.000107,0.8142,5
1000,16,lazy_8ary,2.3696,0.5779,0.000132,0.6560,5
1000,32,lazy_binary,2.9574,0.6618,0.000194,0.5024,5
1000,32,indexed_binary,2.9558,0.0000,0.000097,1.0000,5
1000,32,lazy_4ary,2.9610,0.6622,0.000137,0.7107,5
1000,32,lazy_8ary,2.9588,0.6620,0.000169,0.5767,5
1000,64,lazy_binary,3.4822,0.7128,0.000240,0.4648,5
1000,64,indexed_binary,3.4796,0.0000,0.000111,1.0000,5
1000,64,lazy_4ary,3.4786,0.7125,0.000171,0.6500,5
1000,64,lazy_8ary,3.4798,0.7126,0.000204,0.5447,5
1000,128,lazy_binary,3.9250,0.7452,0.000313,0.4658,5
1000,128,indexed_binary,3.9238,0.0000,0.000146,1.0000,5
1000,128,lazy_4ary,3.9326,0.7457,0.000231,0.6291,5
1000,128,lazy_8ary,3.9164,0.7447,0.000255,0.5705,5
3000,4,lazy_binary,1.4557,0.3130,0.000310,0.7953,5
3000,4,indexed_binary,1.4543,0.0000,0.000247,1.0000,5
3000,4,lazy_4ary,1.4547,0.3126,0.000195,1.2666,5
3000,4,lazy_8ary,1.4549,0.3127,0.000223,1.1071,5
3000,8,lazy_binary,1.8823,0.4687,0.002592,0.2968,5
3000,8,indexed_binary,1.8802,0.0000,0.000769,1.0000,5
3000,8,lazy_4ary,1.8809,0.4683,0.000280,2.7436,5
3000,8,lazy_8ary,1.8819,0.4686,0.000298,2.5800,5
3000,16,lazy_binary,2.4155,0.5860,0.000899,1.2138,5
3000,16,indexed_binary,2.4170,0.0000,0.001091,1.0000,5
3000,16,lazy_4ary,2.4141,0.5858,0.000748,1.4574,5
3000,16,lazy_8ary,2.4152,0.5859,0.000718,1.5196,5
3000,32,lazy_binary,2.9699,0.6633,0.000913,0.4639,5
3000,32,indexed_binary,2.9665,0.0000,0.000423,1.0000,5
3000,32,lazy_4ary,2.9688,0.6631,0.000537,0.7889,5
3000,32,lazy_8ary,2.9695,0.6632,0.000684,0.6190,5
3000,64,lazy_binary,3.5054,0.7147,0.001030,0.4796,5
3000,64,indexed_binary,3.5083,0.0000,0.000494,1.0000,5
3000,64,lazy_4ary,3.5001,0.7143,0.000610,0.8104,5
3000,64,lazy_8ary,3.5026,0.7145,0.001127,0.4385,5
3000,128,lazy_binary,3.9540,0.7471,0.001199,0.4278,5
3000,128,indexed_binary,3.9701,0.0000,0.000513,1.0000,5
3000,128,lazy_4ary,3.9510,0.7469,0.001022,0.5016,5
3000,128,lazy_8ary,3.9575,0.7473,0.001233,0.4159,5
5000,4,lazy_binary,1.4567,0.3135,0.000488,0.9739,5
5000,4,indexed_binary,1.4549,0.0000,0.000475,1.0000,5
5000,4,lazy_4ary,1.4552,0.3128,0.000437,1.0872,5
5000,4,lazy_8ary,1.4563,0.3133,0.000377,1.2596,5
5000,8,lazy_binary,1.8825,0.4688,0.000681,0.7044,5
5000,8,indexed_binary,1.8812,0.0000,0.000480,1.0000,5
5000,8,lazy_4ary,1.8818,0.4686,0.000476,1.0073,5
5000,8,lazy_8ary,1.8814,0.4684,0.000703,0.6827,5
5000,16,lazy_binary,2.3956,0.5826,0.001008,0.5841,5
5000,16,indexed_binary,2.3974,0.0000,0.000589,1.0000,5
5000,16,lazy_4ary,2.3971,0.5828,0.000635,0.9268,5
5000,16,lazy_8ary,2.3969,0.5828,0.000726,0.8105,5
5000,32,lazy_binary,2.9566,0.6618,0.001204,0.6083,5
5000,32,indexed_binary,2.9564,0.0000,0.000733,1.0000,5
5000,32,lazy_4ary,2.9538,0.6614,0.000818,0.8957,5
5000,32,lazy_8ary,2.9538,0.6614,0.001094,0.6698,5
5000,64,lazy_binary,3.5050,0.7147,0.001552,0.5514,5
5000,64,indexed_binary,3.4995,0.0000,0.000856,1.0000,5
5000,64,lazy_4ary,3.5048,0.7147,0.001357,0.6309,5
5000,64,lazy_8ary,3.5008,0.7143,0.001286,0.6655,5
5000,128,lazy_binary,3.9400,0.7462,0.002204,0.5036,5
5000,128,indexed_binary,3.9460,0.0000,0.001110,1.0000,5
5000,128,lazy_4ary,3.9461,0.7466,0.001487,0.7464,5
5000,128,lazy_8ary,3.9496,0.7468,0.001719,0.6459,5
10000,4,lazy_binary,1.4552,0.3128,0.001225,0.9989,5
10000,4,indexed_binary,1.4557,0.0000,0.001224,1.0000,5
10000,4,lazy_4ary,1.4557,0.3131,0.000762,1.6067,5
10000,4,lazy_8ary,1.4559,0.3131,0.000995,1.2296,5
10000,8,lazy_binary,1.8830,0.4689,0.001699,0.7133,5
10000,8,indexed_binary,1.8822,0.0000,0.001212,1.0000,5
10000,8,lazy_4ary,1.8831,0.4689,0.001126,1.0756,5
10000,8,lazy_8ary,1.8832,0.4690,0.001383,0.8760,5
10000,16,lazy_binary,2.4015,0.5836,0.002241,0.5689,5
10000,16,indexed_binary,2.4018,0.0000,0.001275,1.0000,5
10000,16,lazy_4ary,2.4010,0.5835,0.001543,0.8261,5
10000,16,lazy_8ary,2.4026,0.5838,0.001591,0.8012,5
10000,32,lazy_binary,2.9559,0.6617,0.002832,0.4627,5
10000,32,indexed_binary,2.9519,0.0000,0.001310,1.0000,5
10000,32,lazy_4ary,2.9529,0.6614,0.001743,0.7518,5
10000,32,lazy_8ary,2.9569,0.6618,0.001970,0.6652,5
10000,64,lazy_binary,3.4905,0.7135,0.003166,0.5319,5
10000,64,indexed_binary,3.4867,0.0000,0.001684,1.0000,5
10000,64,lazy_4ary,3.4941,0.7138,0.002113,0.7970,5
10000,64,lazy_8ary,3.4924,0.7137,0.002440,0.6902,5
10000,128,lazy_binary,3.9515,0.7469,0.005610,0.5118,5
10000,128,indexed_binary,3.9543,0.0000,0.002871,1.0000,5
10000,128,lazy_4ary,3.9539,0.7471,0.003951,0.7267,5
10000,128,lazy_8ary,3.9639,0.7477,0.004053,0.7084,5
