V,k,mean,std,min,max,cv_pct,n_obs
1000,4,0.3598,0.0091,0.3412,0.3827,2.52,100
1000,8,0.4887,0.0086,0.4678,0.5178,1.76,100
1000,16,0.5931,0.0051,0.5795,0.6092,0.86,100
1000,32,0.6642,0.0039,0.6551,0.672,0.59,100
1000,64,0.7142,0.0035,0.7065,0.7223,0.49,100
1000,128,0.7467,0.003,0.7401,0.7522,0.4,100
3000,4,0.3604,0.0052,0.3448,0.3729,1.45,100
3000,8,0.4876,0.0039,0.4769,0.4982,0.81,100
3000,16,0.5915,0.0028,0.5843,0.6009,0.48,100
3000,32,0.6652,0.0027,0.6579,0.6711,0.41,100
3000,64,0.7146,0.0018,0.7087,0.719,0.26,100
3000,128,0.747,0.0018,0.7406,0.7515,0.24,100
10000,4,0.3591,0.0025,0.3517,0.3639,0.69,100
10000,8,0.4887,0.0021,0.4843,0.4929,0.42,100
10000,16,0.5915,0.0016,0.5876,0.5946,0.27,100
10000,32,0.6648,0.0016,0.6609,0.6682,0.24,100
10000,64,0.7146,0.0009,0.7124,0.7168,0.13,100
10000,128,0.7471,0.0009,0.7452,0.7496,0.12,100
