distribution,k_range,alpha,c,R2
"U[1,100]    (original)","k ∈ [4, 64]",0.293494,0.943286,0.995386
"U[1,100]    (original)","k ∈ [4, 128]",0.271338,0.896212,0.988153
"U[1,100]    (original)","k ∈ [4, 256]",0.246951,0.842351,0.975324
"U[1,100]    (original)","k ∈ [4, 512]",0.222725,0.78763,0.95749
"U[1,100000] (large W)","k ∈ [4, 64]",0.316536,0.968881,0.997981
"U[1,100000] (large W)","k ∈ [4, 128]",0.301398,0.935579,0.995383
"U[1,100000] (large W)","k ∈ [4, 256]",0.285456,0.898429,0.99164
"U[1,100000] (large W)","k ∈ [4, 512]",0.27035,0.861578,0.987645
"U[0,1] float (cont.)","k ∈ [4, 64]",0.316472,0.969266,0.997989
"U[0,1] float (cont.)","k ∈ [4, 128]",0.301261,0.935793,0.995352
"U[0,1] float (cont.)","k ∈ [4, 256]",0.285808,0.899752,0.99195
"U[0,1] float (cont.)","k ∈ [4, 512]",0.270486,0.862331,0.987696
