distribution,k,skip_ratio_mean,push_per_V,H_k,push_per_V_over_Hk
"U[1,100]    (original)",4,0.36058,1.56395,2.083333,0.750696
"U[1,100]    (original)",8,0.48877,1.956095,2.717857,0.71972
"U[1,100]    (original)",16,0.591614,2.44871,3.380729,0.724314
"U[1,100]    (original)",32,0.665202,2.986905,4.058495,0.735964
"U[1,100]    (original)",64,0.714273,3.499905,4.743891,0.737771
"U[1,100]    (original)",128,0.747141,3.954885,5.433147,0.727918
"U[1,100]    (original)",256,0.766932,4.29063,6.124345,0.700586
"U[1,100]    (original)",512,0.779225,4.529575,6.816517,0.6645
"U[1,100000] (large W)",4,0.367881,1.582005,2.083333,0.759362
"U[1,100000] (large W)",8,0.498123,1.992535,2.717857,0.733127
"U[1,100000] (large W)",16,0.60411,2.52598,3.380729,0.74717
"U[1,100000] (large W)",32,0.680875,3.13364,4.058495,0.772119
"U[1,100000] (large W)",64,0.735344,3.77854,4.743891,0.796507
"U[1,100000] (large W)",128,0.775529,4.454985,5.433147,0.819964
"U[1,100000] (large W)",256,0.805001,5.128315,6.124345,0.837365
"U[1,100000] (large W)",512,0.828338,5.82545,6.816517,0.854608
"U[0,1] float (cont.)",4,0.368102,1.582555,2.083333,0.759626
"U[0,1] float (cont.)",8,0.497109,1.98855,2.717857,0.731661
"U[0,1] float (cont.)",16,0.604139,2.52619,3.380729,0.747232
"U[0,1] float (cont.)",32,0.680618,3.13109,4.058495,0.77149
"U[0,1] float (cont.)",64,0.735216,3.776695,4.743891,0.796118
"U[0,1] float (cont.)",128,0.77529,4.450245,5.433147,0.819092
"U[0,1] float (cont.)",256,0.805424,5.13947,6.124345,0.839187
"U[0,1] float (cont.)",512,0.828154,5.81922,6.816517,0.853694
